mission_id,rocket_name,family,launch_date,launch_site,lat,lon,payload_kg,orbit,success,flight_time_min,cost_million_usd,mission_year,payload_class,cost_per_kg
18,rocket_109,longmarch,2022-05-24,tanegashima,30.3978564562903,130.97203866065374,1455,transfer,1,119,12.47,2022,medium,8564.560439560439
19,rocket_74,vega,2011-11-18,baikonur,45.94738718362941,63.30653789897169,2082,gto,1,73,50.88,2011,large,24426.30820931349
20,rocket_300,delta,2019-03-21,tanegashima,30.343986731378678,130.95837125949612,4013,meo,1,121,22.45,2019,large,5592.924763328351
21,rocket_71,soyuz,2022-11-09,satish dhawan,13.712134712020468,80.21268975252343,1624,leo,1,27,27.59,2022,medium,16978.46153846154
22,rocket_57,falcon,2006-11-09,baikonur,45.93285033530878,63.30869267717065,4286,transfer,1,124,69.61,2006,large,16237.462094704922
23,rocket_33,electron,2017-04-05,tanegashima,30.387352816910223,130.9813414159396,1019,sso,1,145,16.99,2017,medium,16656.86274509804
24,rocket_271,vega,2011-04-12,cape canaveral,28.434152490222896,-80.59618234158177,952,transfer,1,125,19.28,2011,medium,20230.8499475341
25,rocket_275,atlas,2011-12-20,plesetsk,62.94239954719862,40.49736779044808,1882,leo,1,0,13.04,2011,medium,6925.119490175252
26,rocket_223,delta,2007-02-04,satish dhawan,13.702109711407491,80.21408379430069,5848,leo,1,10,18.69,2007,heavy,3195.418020174389
27,rocket_257,delta,2008-01-06,vandenberg,34.79668844318123,-120.57052469139697,4845,transfer,0,144,38.07,2008,large,7855.963681386711
28,rocket_260,delta,2008-12-02,baikonur,45.960530744293486,63.319280009881844,2187,meo,1,98,37.24,2008,large,17020.109689213896
29,rocket_277,ariane,2023-10-16,cape canaveral,28.417748423366927,-80.61250183425211,5946,sso,0,110,61.66,2023,heavy,10368.252900622163
30,rocket_251,longmarch,2000-11-15,vandenberg,34.72432285127597,-120.5693254978811,1352,meo,1,123,35.78,2000,medium,26444.937176644493
31,rocket_123,delta,2002-08-07,kourou,5.216819838071464,-52.74035990791656,5116,sso,0,137,45.99,2002,heavy,8987.688098495211
32,rocket_44,atlas,2021-10-19,vandenberg,34.75341781021386,-120.5496886871964,2310,sso,0,130,87.79,2021,large,37987.8840328862
33,rocket_66,ariane,2021-04-27,baikonur,45.96830045596219,63.28788142164341,6908,meo,0,96,27.49,2021,heavy,3978.8681430018814
34,rocket_109,electron,2024-03-10,kourou,5.226561362684211,-52.74622098806066,420,transfer,1,133,5.81,2024,small,13800.475059382423
35,rocket_205,delta,2016-10-01,satish dhawan,13.767680719147851,80.26726827516642,5128,sso,0,130,10.94,2016,heavy,2132.9693897445895
36,rocket_62,vega,2011-02-13,kourou,5.222764270704632,-52.75095133330407,3226,leo,0,-25,32.8,2011,large,10164.23923148435
37,rocket_11,longmarch,2010-04-28,kourou,5.229315058176993,-52.77435693813021,1085,leo,1,0,54.92,2010,medium,50570.902394106815
38,rocket_31,atlas,2010-04-08,vandenberg,34.78444312394025,-120.55175069478898,1135,leo,0,-10,43.77,2010,medium,38529.92957746479
39,rocket_37,longmarch,2023-01-23,kourou,5.235611157182009,-52.786651833131224,2538,meo,1,115,58.08,2023,large,22875.147695943284
40,rocket_110,vega,2024-03-09,baikonur,45.95619911026606,63.30761481154572,2089,transfer,1,152,8.55,2024,large,4090.909090909091
41,rocket_125,vega,2021-03-20,tanegashima,30.370950849483368,130.95821793214233,3382,gto,0,53,43.65,2021,large,12902.749039314218
42,rocket_50,atlas,2019-05-03,plesetsk,62.96966066749312,40.43295824400955,1794,heo,1,151,11.43,2019,medium,6367.688022284123
43,rocket_240,electron,2002-06-06,vandenberg,34.75969980934373,-120.5816905949729,196,leo,0,5,33.11,2002,small,168071.0659898477
44,rocket_174,electron,2004-11-25,kourou,5.252257242376779,-52.75540742316153,744,gto,0,62,34.61,2004,medium,46456.37583892617
45,rocket_275,soyuz,2020-02-15,baikonur,45.95161594543638,63.328238746354934,1157,heo,0,84,11.69,2020,medium,10094.991364421416
46,rocket_143,ariane,2020-10-01,kourou,5.249639059425899,-52.77420533513187,8105,leo,0,41,50.32,2020,heavy,6207.747347643721
47,rocket_282,vega,2004-05-23,cape canaveral,28.360996097997297,-80.6145944702358,1148,transfer,0,158,45.98,2004,medium,40017.40644038294
48,rocket_48,falcon,2010-08-08,baikonur,45.96475506454306,63.287054912570284,7409,heo,0,132,59.43,2010,heavy,8020.242914979757
49,rocket_247,vega,2009-08-03,tanegashima,30.38727682682951,130.984157615762,651,leo,1,8,42.06,2009,medium,64509.20245398773
50,rocket_195,ariane,2000-02-05,tanegashima,30.346038313170055,130.92885072451247,4133,meo,0,110,53.48,2000,large,12936.62312530237
51,rocket_147,vega,2018-12-22,satish dhawan,13.713853515158474,80.2303087434202,936,gto,0,4,53.55,2018,medium,57150.48025613661
52,rocket_152,soyuz,2009-10-06,cape canaveral,28.407223930284825,-80.57500422173995,864,sso,1,126,17.59,2009,medium,20335.260115606936
53,rocket_161,falcon,2002-07-25,cape canaveral,28.39823005329038,-80.58598891387284,4782,sso,1,113,56.87,2002,large,11890.027179594397
54,rocket_258,vega,2023-10-28,baikonur,46.00806364915024,63.28965304874224,1447,leo,1,44,44.39,2023,medium,30656.077348066297
55,rocket_96,atlas,2003-01-27,vandenberg,34.71294301081855,-120.55671987178172,2244,transfer,1,117,44.64,2003,large,19884.187082405344
56,rocket_207,soyuz,2005-05-18,kourou,5.242835119515543,-52.73047658321568,184,sso,1,104,32.26,2005,small,174378.37837837834
57,rocket_42,falcon,2018-10-21,plesetsk,62.94100485906725,40.469354011121155,6900,meo,0,134,72.15,2018,heavy,10455.006520794088
58,rocket_161,soyuz,2010-09-15,jiuquan,40.95830920309495,100.32305632623947,352,heo,0,85,50.31,2010,small,142521.2464589235
59,rocket_154,ariane,2020-07-05,plesetsk,62.957324666458675,40.47824916962196,1811,leo,1,20,54.54,2020,medium,30099.33774834437
60,rocket_235,falcon,2004-06-26,vandenberg,34.75623229756177,-120.59489284183675,4373,sso,1,122,57.72,2004,large,13196.159122085048
61,rocket_260,soyuz,2011-11-24,baikonur,45.967297229364284,63.33602525709466,2568,meo,1,124,60.71,2011,large,23631.76333203581
62,rocket_126,atlas,2016-07-29,jiuquan,40.9735075189917,100.32567263115064,839,gto,1,40,44.57,2016,medium,53059.52380952381
63,rocket_279,vega,2013-07-27,cape canaveral,28.414558271204925,-80.60840055642085,1429,transfer,1,85,51.67,2013,medium,36132.86713286713
64,rocket_54,delta,2006-01-09,jiuquan,40.9265323512129,100.29718904602207,5400,leo,0,47,9.3,2006,heavy,1721.9033512312535
65,rocket_284,atlas,2006-12-21,jiuquan,40.958141773868974,100.2967939269049,1268,meo,1,142,8.38,2006,medium,6603.624901497243
66,rocket_176,soyuz,2009-02-17,jiuquan,40.94088547907329,100.30838093031035,1702,sso,1,118,44.33,2009,medium,26030.534351145037
67,rocket_129,vega,2002-04-12,vandenberg,34.74314948006048,-120.61805604980081,560,transfer,1,91,27.13,2002,medium,48360.07130124777
68,rocket_142,electron,2001-12-23,cape canaveral,28.394590439006183,-80.61007839199067,296,meo,0,106,33.21,2001,small,111818.18181818182
69,rocket_135,ariane,2007-04-01,satish dhawan,13.767382834868013,80.22418551470766,6228,sso,1,109,31.58,2007,heavy,5069.834644405201
70,rocket_288,electron,2000-06-07,vandenberg,34.8035776161691,-120.55000850177132,753,leo,0,26,34.67,2000,medium,45981.43236074271
71,rocket_280,ariane,2001-08-13,plesetsk,62.92326189754879,40.47104418245253,4744,sso,1,103,36.43,2001,large,7677.555321390938
72,rocket_221,ariane,2005-09-19,cape canaveral,28.39667754717367,-80.5760601172222,2877,meo,1,153,63.22,2005,large,21966.643502432245
73,rocket_21,longmarch,2016-01-19,kourou,5.2282386162040515,-52.781368039366065,654,transfer,1,111,53.73,2016,medium,82030.53435114503
74,rocket_53,soyuz,2015-11-12,tanegashima,30.361987148617562,130.9472574923247,3291,sso,0,92,38.44,2015,large,11676.792223572296
75,rocket_122,ariane,2007-04-16,baikonur,45.97280506537967,63.30330182335008,3815,heo,1,69,60.27,2007,large,15794.025157232705
76,rocket_92,falcon,2014-11-25,tanegashima,30.376986646108584,130.97202774246742,5474,transfer,1,130,35.34,2014,heavy,6454.7945205479455
77,rocket_137,soyuz,2007-02-21,vandenberg,34.74759514699573,-120.62721909688919,2838,heo,0,108,14.97,2007,large,5272.983444874956
78,rocket_241,falcon,2009-12-23,kourou,5.234678404027053,-52.79222032399525,4082,heo,1,132,25.08,2009,large,6142.542248346804
79,rocket_157,longmarch,2010-03-17,kourou,5.258126582096569,-52.75256723701398,803,leo,1,2,41.4,2010,medium,51492.53731343283
80,rocket_205,soyuz,2014-09-22,jiuquan,40.96802291746742,100.28622029626568,946,leo,1,26,26.95,2014,medium,28458.28933474129
81,rocket_180,delta,2022-11-07,tanegashima,30.363109678945516,130.9687665703692,5173,transfer,1,117,31.71,2022,heavy,6128.72052570545
82,rocket_15,longmarch,2005-03-04,jiuquan,40.97802249406863,100.29177952935665,136,gto,0,50,61.13,2005,small,446204.3795620438
83,rocket_20,delta,2004-11-11,tanegashima,30.396031860813434,130.9401291007551,7402,meo,1,106,5.0,2004,heavy,675.401864109145
84,rocket_224,longmarch,2022-12-10,vandenberg,34.74671229116217,-120.55698269612226,2660,heo,0,136,5.0,2022,large,1878.9928598271326
85,,,2001-12-28,,30.394318440159193,130.95864109742305,2457,,1,25,48.71,2001,large,19816.92432872254
86,rocket_187,soyuz,2019-05-07,vandenberg,34.743431324744385,-120.5819531489353,474,transfer,1,136,17.16,2019,small,36126.31578947369
87,rocket_161,longmarch,2005-08-03,jiuquan,40.95205184115101,100.28724708453306,1457,sso,1,145,23.33,2005,medium,16001.371742112482
88,rocket_210,delta,2014-08-19,tanegashima,30.359524216017928,130.93210690593378,6927,transfer,0,128,58.15,2014,heavy,8393.475750577367
89,rocket_284,delta,2005-09-16,kourou,5.231943075606597,-52.767061691300995,1442,heo,1,123,69.65,2005,medium,48267.49826749827
90,rocket_90,electron,2013-07-01,tanegashima,30.4126404899295,130.9839084009231,4064,sso,0,104,37.07,2013,large,9119.311193111931
91,rocket_156,falcon,2012-11-13,kourou,5.28677382203475,-52.75752094665784,8186,heo,0,118,61.72,2012,heavy,7538.780994259191
92,rocket_239,longmarch,2019-10-26,satish dhawan,13.736363411679239,80.23186635934377,676,transfer,1,99,5.18,2019,medium,7651.403249630724
93,rocket_262,soyuz,2021-03-23,baikonur,45.942491619845065,63.30201926666541,2079,transfer,0,89,26.09,2021,large,12543.26923076923
94,rocket_146,atlas,2023-02-14,plesetsk,62.96397912189891,40.49453130059096,486,leo,1,10,40.44,2023,small,83039.01437371664
95,rocket_159,soyuz,2010-01-28,kourou,5.2224486757453255,-52.76501426873055,50,gto,1,45,32.37,2010,small,634705.8823529411
96,rocket_24,falcon,2010-12-25,satish dhawan,13.71924493459568,80.21953150457733,3434,sso,0,108,41.8,2010,large,12168.850072780204
97,rocket_234,atlas,2018-08-04,kourou,5.194432466901621,-52.79281280155375,925,transfer,1,147,5.0,2018,medium,5399.5680345572355
98,rocket_254,electron,2017-12-04,kourou,5.213788483090683,-52.73295459113153,1855,gto,1,16,18.33,2017,medium,9876.077586206897
99,rocket_55,falcon,2019-01-26,kourou,5.237974915552747,-52.770606902919745,6871,gto,1,30,39.08,2019,heavy,5686.845168800931
100,rocket_26,vega,2011-03-06,vandenberg,34.75621919936407,-120.56351473377028,1500,heo,1,115,24.38,2011,medium,16242.504996668888
101,rocket_238,ariane,2023-10-29,plesetsk,62.89360441655863,40.507293738685256,4278,heo,1,106,35.94,2023,large,8399.158681935032
102,rocket_281,electron,2020-01-01,baikonur,45.93939141295008,63.340095883639684,1983,transfer,1,88,39.09,2020,medium,19702.620967741936
103,rocket_231,vega,2011-08-17,kourou,5.229285698542268,-52.74107911585071,3663,transfer,1,139,29.54,2011,large,8062.227074235808
104,rocket_267,delta,2021-09-26,kourou,5.236368678661307,-52.76104836589277,9310,meo,1,123,27.24,2021,heavy,2925.5719041993343
105,rocket_40,vega,2012-10-25,kourou,5.276111480912799,-52.75364816840414,579,meo,1,87,38.28,2012,medium,66000.0
106,rocket_164,longmarch,2024-03-24,vandenberg,34.77530948888925,-120.55211259869964,438,gto,1,50,44.74,2024,small,101913.43963553531
107,rocket_119,ariane,2017-03-07,baikonur,45.93631270065683,63.31662044019732,1318,transfer,1,113,52.98,2017,medium,40166.79302501895
108,rocket_33,soyuz,2018-08-11,tanegashima,30.35601202222336,131.00964764129674,2548,meo,1,100,45.8,2018,large,17967.830521773245
109,rocket_213,vega,2002-10-17,kourou,5.235893270583267,-52.78117537651563,1486,heo,0,132,7.21,2002,medium,4848.688634835239
110,rocket_300,electron,2000-11-16,tanegashima,30.362460658844245,130.99324897115994,2879,heo,0,119,33.705,2000,large,11703.125
111,rocket_181,falcon,2013-05-24,tanegashima,30.33974266142258,130.97988270405233,6415,heo,0,98,63.94,2013,heavy,9965.71072319202
112,,,2009-11-04,,40.97179580895862,100.31991561451109,2138,,1,127,39.16,2009,large,18307.62038335671
113,rocket_15,vega,2017-06-11,plesetsk,62.94336969469277,40.47467695308492,2167,transfer,1,89,29.13,2017,large,13436.346863468634
114,rocket_85,electron,2020-12-18,baikonur,45.96556636752261,63.30559512278992,1393,sso,0,119,40.22,2020,medium,28852.22381635581
115,rocket_202,falcon,2001-03-20,vandenberg,34.721150302515454,-120.54684146341523,6876,transfer,1,91,57.52,2001,heavy,8364.112258252146
116,rocket_70,electron,2020-09-16,baikonur,45.98563689078938,63.27528879253926,50,leo,1,43,32.95,2020,small,646078.431372549
117,rocket_195,delta,2014-09-07,kourou,5.260463419011829,-52.7816686358026,5534,heo,1,134,30.71,2014,heavy,5548.3288166215
118,rocket_173,longmarch,2017-01-02,jiuquan,40.99219144291462,100.28784279945694,519,heo,0,111,51.8,2017,medium,99615.38461538461
119,rocket_42,delta,2021-02-04,cape canaveral,28.35816343397785,-80.62980691663293,4159,transfer,1,99,14.24,2021,large,3423.076923076923
120,rocket_180,falcon,2010-01-21,vandenberg,34.74101072580695,-120.55890361015668,2858,transfer,0,139,46.79,2010,large,16365.862189576776
121,rocket_16,falcon,2011-02-03,kourou,5.204600793246853,-52.766520740718526,2754,leo,0,38,74.32,2011,large,26976.40653357532
122,rocket_123,ariane,2005-08-30,satish dhawan,13.748310084959797,80.21898507412502,3964,transfer,1,107,67.84,2005,large,17109.709962168978
123,rocket_289,atlas,2009-10-11,satish dhawan,13.767047527300655,80.24915676603133,1164,transfer,0,105,19.45,2009,medium,16695.278969957082
124,rocket_189,delta,2007-07-12,vandenberg,34.7477173078145,-120.56571086420026,3319,gto,0,32,24.18,2007,large,7283.1325301204815
125,rocket_56,delta,2001-02-24,jiuquan,40.978282016731185,100.27928632417189,6317,sso,1,85,11.14,2001,heavy,1763.2162076606521
126,rocket_204,electron,2008-11-23,vandenberg,34.74167154207854,-120.54863213453105,1181,sso,1,109,33.36,2008,medium,28223.350253807108
127,rocket_53,soyuz,2013-07-12,vandenberg,34.709212074646715,-120.56314902894705,5553,sso,0,146,13.02,2013,heavy,2344.256391789701
128,rocket_178,falcon,2023-11-24,tanegashima,30.396333493791783,130.9803859118089,5480,transfer,0,136,57.61,2023,heavy,10510.855683269476
129,rocket_36,longmarch,2022-09-11,plesetsk,62.91320919357839,40.48189911035123,3264,leo,1,7,17.5,2022,large,5359.8774885145485
130,rocket_251,electron,2004-09-25,tanegashima,30.347802877180403,130.97192507132053,1336,meo,1,123,30.7,2004,medium,22961.854899027672
131,rocket_79,vega,2019-07-15,baikonur,45.975760447095944,63.30595908100566,1790,transfer,0,125,23.98,2019,medium,13389.168062534896
132,rocket_276,delta,2021-09-08,satish dhawan,13.741372634997196,80.20986969401179,7417,heo,0,111,32.91,2021,heavy,4436.505796710703
133,rocket_166,delta,2011-01-05,vandenberg,34.74934204533576,-120.58291610774626,5265,meo,1,110,31.92,2011,heavy,6061.526775541208
134,rocket_125,vega,2020-11-04,tanegashima,30.346039721991676,130.9130238808676,237,meo,0,108,58.22,2020,small,244621.8487394958
135,rocket_254,falcon,2014-07-31,baikonur,45.960551744430894,63.28206082742533,5880,heo,0,142,69.66,2014,heavy,11844.924332596498
136,rocket_182,soyuz,2011-08-03,plesetsk,62.92608827967289,40.476866788986456,270,meo,1,89,19.62,2011,small,72398.52398523985
137,rocket_285,delta,2000-06-15,kourou,5.255010055105652,-52.77485951656605,4517,leo,1,16,26.56,2000,large,5878.707392651616
138,rocket_209,soyuz,2021-11-30,kourou,5.247395345604644,-52.75904582879966,1511,transfer,1,126,36.85,2021,medium,24371.693121693123
139,rocket_252,vega,2020-02-07,cape canaveral,28.376222649943973,-80.60665433019298,1785,leo,1,39,37.37,2020,medium,20923.852183650615
140,rocket_114,delta,2018-02-20,kourou,5.238562088298216,-52.7816210331495,5749,meo,1,119,8.54,2018,heavy,1485.2173913043478
141,rocket_243,longmarch,2023-10-25,plesetsk,62.923539302426065,40.458236806197995,2181,heo,1,114,29.62,2023,large,13574.702108157653
142,rocket_181,longmarch,2020-05-09,jiuquan,40.94126047713741,100.29734577287716,5444,meo,1,135,36.38,2020,heavy,6681.359044995409
143,rocket_119,delta,2005-05-30,kourou,5.218473626640516,-52.76724679533664,4992,meo,0,130,56.72,2005,large,11359.903865411576
144,rocket_275,atlas,2008-04-21,kourou,5.27195373053699,-52.75518314277466,50,gto,1,24,25.78,2008,small,505490.1960784314
145,rocket_142,vega,2023-07-14,jiuquan,40.996839602482694,100.30545851457383,642,leo,1,20,18.02,2023,medium,28024.883359253497
146,rocket_152,soyuz,2010-03-16,plesetsk,62.95334788131269,40.47595199209385,1286,gto,0,65,21.97,2010,medium,17070.70707070707
147,rocket_8,delta,2023-12-17,baikonur,45.9443684750626,63.294414035249076,9150,meo,0,112,33.705,2023,heavy,3683.2040214184244
148,rocket_28,falcon,2013-02-07,baikonur,45.965760069563366,63.30740062653437,6237,transfer,1,154,56.54,2013,heavy,9063.80250080154
149,rocket_53,vega,2000-07-19,jiuquan,40.979257581686575,100.31576317097237,1727,heo,1,141,28.34,2000,medium,16400.462962962964
150,rocket_226,vega,2015-04-14,baikonur,45.99867855382916,63.29582231474262,3228,leo,1,19,45.71,2015,large,14156.085475379374
151,rocket_245,delta,2005-02-12,vandenberg,34.75800996483532,-120.56881450791147,7157,heo,0,87,21.41,2005,heavy,2991.0589550153672
152,rocket_38,vega,2002-05-28,baikonur,45.97488060372566,63.31021347531648,1565,gto,0,32,35.94,2002,medium,22950.191570881227
153,rocket_44,delta,2011-02-18,vandenberg,34.708990175799244,-120.57340845703443,3899,sso,0,126,25.63,2011,large,6571.794871794872
154,rocket_116,electron,2023-06-10,tanegashima,30.367751181171936,130.93460660210746,186,heo,1,142,5.0,2023,small,26737.9679144385
155,rocket_153,vega,2019-03-27,jiuquan,40.9186968495464,100.30338347784492,2089,sso,0,88,25.91,2019,large,12397.129186602871
156,rocket_51,falcon,2009-04-27,kourou,5.229026957311842,-52.774985154086366,4481,meo,1,150,62.75,2009,large,14000.446229361893
157,rocket_81,atlas,2010-10-04,baikonur,45.95893383076128,63.3125945237388,143,sso,1,127,49.48,2010,small,343611.1111111111
158,rocket_81,atlas,2000-02-13,tanegashima,30.38965280154431,130.9553856683978,153,heo,1,134,30.78,2000,small,199870.12987012987
159,rocket_150,vega,2001-06-18,kourou,5.233328403173895,-52.746282673162646,657,meo,1,122,36.79,2001,medium,55911.85410334347
160,rocket_233,delta,2003-03-12,kourou,5.248255478101251,-52.78906831126347,798,meo,1,142,14.4,2003,medium,18022.52816020025
161,rocket_218,soyuz,2005-02-23,kourou,5.235382247288568,-52.72793185465636,747,transfer,0,130,16.24,2005,medium,21711.22994652406
162,rocket_137,ariane,2006-05-19,vandenberg,34.754774604440584,-120.59526009825461,6925,leo,0,37,67.81,2006,heavy,9790.643950332082
163,rocket_158,ariane,2012-12-11,satish dhawan,13.726712000381998,80.2591036309838,8266,leo,1,35,46.21,2012,heavy,5589.6939639530665
164,rocket_156,vega,2018-01-20,jiuquan,40.972548001396994,100.31232345484622,1628,sso,1,143,11.59,2018,medium,7114.794352363413
165,rocket_225,vega,2003-08-10,cape canaveral,28.371276548331274,-80.63853381431177,95,heo,0,122,14.57,2003,small,151770.83333333334
166,rocket_129,longmarch,2001-02-27,vandenberg,34.77484030320272,-120.55220365821314,1270,gto,1,32,10.15,2001,medium,7985.837922895358
167,rocket_138,falcon,2001-10-21,baikonur,45.95591511449694,63.304601292095086,3623,heo,1,121,66.89,2001,large,18457.505518763795
168,rocket_143,vega,2008-02-21,tanegashima,30.40268545637021,130.96827818240104,1813,transfer,1,140,66.6,2008,medium,36714.443219404624
169,rocket_47,vega,2021-01-30,plesetsk,62.92322206624431,40.48306146552881,1689,heo,0,114,35.88,2021,medium,21230.76923076923
170,rocket_165,longmarch,2004-09-09,baikonur,45.96859788302307,63.33284004572689,432,meo,1,100,13.45,2004,small,31062.355658198616
171,rocket_254,electron,2012-12-05,tanegashima,30.37231463793285,130.95381552243805,2336,sso,0,107,6.2,2012,large,2652.9738981600344
172,rocket_233,falcon,2003-12-13,plesetsk,62.89514012532937,40.48080949475921,3061,meo,1,107,54.8,2003,large,17896.79947746571
173,rocket_60,longmarch,2018-02-17,cape canaveral,28.406276226664932,-80.60287469182711,460,transfer,0,108,33.705,2018,small,73112.79826464209
174,rocket_212,vega,2002-06-07,kourou,5.207947894564006,-52.733008465136265,2912,sso,0,105,20.06,2002,large,6886.371438379677
175,rocket_256,longmarch,2019-10-30,cape canaveral,28.433228460933975,-80.62222287962531,1987,gto,0,61,21.59,2019,medium,10860.160965794768
176,,,2005-11-16,,40.97327553761864,100.30657598194902,5478,,1,96,34.65,2005,heavy,6324.146742106223
177,rocket_63,vega,2001-04-17,kourou,5.205261040799473,-52.762644975512714,129,transfer,1,144,54.35,2001,small,418076.92307692306
178,rocket_160,ariane,2000-08-12,tanegashima,30.408554016281528,130.94592823516584,7918,leo,0,-1,74.59,2000,heavy,9419.118575577724
179,rocket_59,soyuz,2020-09-12,vandenberg,34.730268718408745,-120.57635070451394,1637,transfer,1,97,19.33,2020,medium,11800.976800976801
180,rocket_256,ariane,2013-02-02,jiuquan,40.96721760464429,100.31497057923218,3481,heo,0,124,26.66,2013,large,7656.519241815049
181,rocket_242,vega,2010-12-07,satish dhawan,13.714690028761227,80.26493667684437,3487,sso,1,133,59.2,2010,large,16972.477064220184
182,rocket_197,ariane,2008-07-19,baikonur,45.96838721648073,63.2767257100619,5192,leo,0,25,36.19,2008,heavy,6968.996726362411
183,rocket_213,delta,2015-03-31,jiuquan,40.94992181797366,100.2701571194757,4777,leo,0,41,11.78,2015,large,2465.466722478024
184,rocket_153,delta,2021-12-18,baikonur,45.9688409823298,63.29881767071595,5145,heo,0,166,35.9,2021,heavy,6976.292265837544
185,rocket_177,vega,2014-11-29,tanegashima,30.360914245836177,130.95222238504266,767,heo,0,98,16.65,2014,medium,21679.687499999996
186,rocket_97,longmarch,2010-09-17,tanegashima,30.38277157209062,131.00685999034866,674,gto,1,22,5.0,2010,medium,7407.407407407408
187,rocket_23,electron,2014-04-10,satish dhawan,13.711128255874854,80.25372605494474,487,transfer,0,112,36.96,2014,small,75737.70491803279
188,rocket_198,electron,2006-10-28,satish dhawan,13.73063019687141,80.21243064036418,1636,leo,1,11,18.66,2006,medium,11398.900427611485
189,rocket_258,ariane,2014-11-22,vandenberg,34.791297552717154,-120.57840280568786,5056,heo,1,115,52.96,2014,heavy,10472.612220684201
190,rocket_270,atlas,2020-06-30,cape canaveral,28.384646755956815,-80.60939842605971,800,transfer,1,98,25.42,2020,medium,31735.330836454432
191,rocket_210,ariane,2006-12-04,vandenberg,34.68423457589614,-120.56653461371734,5113,heo,0,83,40.3,2006,heavy,7880.3285099726245
192,rocket_174,delta,2017-10-30,vandenberg,34.737731142581396,-120.542585477263,5566,meo,1,150,48.28,2017,heavy,8672.534578767738
193,rocket_163,electron,2021-11-20,cape canaveral,28.389492515680903,-80.61979413514436,797,sso,0,108,23.84,2021,medium,29874.68671679198
194,rocket_121,atlas,2012-11-21,kourou,5.244738763394927,-52.744187074504275,1104,transfer,1,123,30.05,2012,medium,27194.570135746606
195,rocket_223,atlas,2004-05-31,vandenberg,34.739429850382884,-120.55261261123437,2399,heo,1,99,26.87,2004,large,11195.833333333334
196,rocket_154,ariane,2001-04-19,cape canaveral,28.385306791985467,-80.6574798458429,3985,meo,1,130,61.39,2001,large,15401.404917210235
197,rocket_151,falcon,2016-01-30,plesetsk,62.887796839834124,40.51321117233232,3907,heo,1,100,49.54,2016,large,12676.560900716478
198,rocket_126,ariane,2023-10-29,tanegashima,30.34756197714137,130.92472877204247,2613,sso,1,116,75.68,2023,large,28951.798010711555
199,rocket_88,ariane,2007-11-08,vandenberg,34.71001727027106,-120.58053446166093,7942,sso,0,142,33.19,2007,heavy,4178.521969029333
200,rocket_124,electron,2022-04-28,baikonur,45.99103482578798,63.336230223934535,323,gto,1,59,34.49,2022,small,106450.61728395062
201,rocket_131,vega,2020-08-12,jiuquan,40.956020342770195,100.30010085675306,564,transfer,1,121,55.83,2020,medium,98814.1592920354
202,rocket_239,falcon,2012-11-25,baikonur,45.98900827815889,63.291862114420574,5473,leo,1,-11,35.43,2012,heavy,6472.415052977713
